#node1,node2,node1_string_id,node2_string_id,homology,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score,,
CALU,P4HB,9606.ENSP00000438248,9606.ENSP00000327801,0,611,0,0,611,,BTNL9
CALU,TPD52,9606.ENSP00000438248,9606.ENSP00000429309,0,421,0,0,420,,C14orf1
CALU,DNAJC3,9606.ENSP00000438248,9606.ENSP00000473631,0,443,0,0,443,,C15orf48
CARMIL1,MYO6,9606.ENSP00000331983,9606.ENSP00000358994,0,0,540,0,540,,C16orf72
CARMIL1,PDLIM5,9606.ENSP00000331983,9606.ENSP00000480359,0,0,540,0,540,,C1orf43
CCL28,CXCL10,9606.ENSP00000354416,9606.ENSP00000305651,0,734,0,0,734,,C1S
CCL28,CXCR4,9606.ENSP00000354416,9606.ENSP00000386884,0,0,650,0,650,,C2orf40
CCL28,CXCL2,9606.ENSP00000354416,9606.ENSP00000427279,0,734,0,0,734,,C3orf38
CCL28,CXCL9,9606.ENSP00000354416,9606.ENSP00000354901,0,734,0,0,734,,C4B_2///C4B///C4A
CCN1,ZWINT,9606.ENSP00000398736,9606.ENSP00000363055,0,724,0,0,724,,C8orf44-SGK3///SGK3
CCNG2,PPP2R5C,9606.ENSP00000315743,9606.ENSP00000412324,0,457,0,0,457,,CA12
CCT2,XRN2,9606.ENSP00000299300,9606.ENSP00000366396,0,0,500,0,499,,CA12
CCT2,SPAG1,9606.ENSP00000299300,9606.ENSP00000373450,0,0,540,0,540,,CA4
CCT2,GNB1,9606.ENSP00000299300,9606.ENSP00000367872,0,229,500,0,598,,CACNA1D
CCT2,HSP90AB1,9606.ENSP00000299300,9606.ENSP00000360609,0,292,720,0,793,,CACNA1D
CCT2,STIP1,9606.ENSP00000299300,9606.ENSP00000351646,0,0,900,0,900,,CALD1
CD74,EIF2S3,9606.ENSP00000009530,9606.ENSP00000253039,0,448,0,0,448,,CALU
CD74,SAR1B,9606.ENSP00000009530,9606.ENSP00000385432,0,0,500,0,499,,CAPN7
CDC5L,SRSF1,9606.ENSP00000360532,9606.ENSP00000258962,0,907,0,0,907,,CARMIL1
CDC5L,PRKDC,9606.ENSP00000360532,9606.ENSP00000313420,0,427,0,0,426,,CASD1
