ID	Gene.symbol	Gene.title	log2(fold change)	-log(pvalue)
201465_s_at	JUN	Jun proto-oncogene, AP-1 transcription factor subunit	-1.484	5.391
201466_s_at	JUN	Jun proto-oncogene, AP-1 transcription factor subunit	-1.383	3.414
213281_at	JUN	Jun proto-oncogene, AP-1 transcription factor subunit	-1.307	4.825
223208_at	KCTD10	potassium channel tetramerization domain containing 10	-0.556	3.325
212441_at	KIAA0232	KIAA0232	0.979	3.72
208961_s_at	KLF6	Kruppel like factor 6	-1.384	3.703
1555420_a_at	KLF7	Kruppel like factor 7	-2.063	4.05
204334_at	KLF7	Kruppel like factor 7	-1.589	4.33
238482_at	KLF7	Kruppel like factor 7	-1.725	4.072
238517_at	KLF7	Kruppel like factor 7	-1.945	3.928
240432_x_at	KLF7	Kruppel like factor 7	-1.399	3.739
237120_at	KRT77	keratin 77	5.422	5.264
208188_at	KRT9	keratin 9	5.832	5.168
202267_at	LAMC2	laminin subunit gamma 2	-3.073	3.968
227819_at	LGR6	leucine rich repeat containing G protein-coupled receptor 6	2.537	8.068
224446_at	LLPH	LLP homolog, long-term synaptic facilitation	-0.936	3.414
200805_at	LMAN2	lectin, mannose binding 2	-1.053	3.355
216952_s_at	LMNB2	lamin B2	-1.429	3.354
202350_s_at	LOC100506558///MATN2	uncharacterized LOC100506558///matrilin 2	2.192	3.957
229006_at	LOC100507487	uncharacterized LOC100507487	1.348	3.56
238559_at	LOC101927402	uncharacterized LOC101927402	1.095	4.608
225520_at	LOC101928195///LOC100996643///MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like pseudogene///monofunctional C1-tetrahydrofolate synthase, mitochondrial-like///methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like	-2.176	3.627
218150_at	LOC101929356///ARL5A	uncharacterized LOC101929356///ADP ribosylation factor like GTPase 5A	1.678	3.895
226617_at	LOC101929356///ARL5A	uncharacterized LOC101929356///ADP ribosylation factor like GTPase 5A	1.838	3.518
224752_at	LOC101930655///C7orf73	uncharacterized LOC101930655///chromosome 7 open reading frame 73	-0.854	3.464
226038_at	LONRF1	LON peptidase N-terminal domain and ring finger 1	2.346	4.758
224624_at	LRRC8A	leucine rich repeat containing 8 family member A	-1.223	3.988
227513_s_at	LRRFIP1	LRR binding FLII interacting protein 1	-0.942	4.426
223413_s_at	LYAR	Ly1 antibody reactive	-1.754	4.679
223414_s_at	LYAR	Ly1 antibody reactive	-1.12	3.659
230174_at	LYPLAL1	lysophospholipase like 1	1.856	4.273
47550_at	LZTS1	leucine zipper tumor suppressor 1	1.026	4.88
226190_at	MAP3K13	mitogen-activated protein kinase kinase kinase 13	-1.267	3.399
1552264_a_at	MAPK1	mitogen-activated protein kinase 1	-1.171	5.45
201670_s_at	MARCKS	myristoylated alanine rich protein kinase C substrate	-0.635	4.102
221047_s_at	MARK1	microtubule affinity regulating kinase 1	-1.54	3.359
226797_at	MBTD1	mbt domain containing 1	1.1	4.22
227175_at	MCL1	BCL2 family apoptosis regulator	-1.07	4.468
222175_s_at	MED15	mediator complex subunit 15	-1.35	3.817
207761_s_at	METTL7A	methyltransferase like 7A	2.648	3.784
205442_at	MFAP3L	microfibrillar associated protein 3 like	2.726	3.792
210843_s_at	MFAP3L	microfibrillar associated protein 3 like	3.303	3.604
221862_at	MIER2	MIER family member 2	0.869	3.626
217871_s_at	MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	-2.151	3.667
1556316_s_at	MIF-AS1	MIF antisense RNA 1	-2.31	4.183
36830_at	MIPEP	mitochondrial intermediate peptidase	1.275	3.471
200874_s_at	MIR1292///SNORD110///SNORD86///SNORD57///NOP56	microRNA 1292///small nucleolar RNA, C/D box 110///small nucleolar RNA, C/D box 86///small nucleolar RNA, C/D box 57///NOP56 ribonucleoprotein	-1.781	5.477
200875_s_at	MIR1292///SNORD110///SNORD86///SNORD57///NOP56	microRNA 1292///small nucleolar RNA, C/D box 110///small nucleolar RNA, C/D box 86///small nucleolar RNA, C/D box 57///NOP56 ribonucleoprotein	-0.874	3.625
209825_s_at	MIR3658///UCK2	microRNA 3658///uridine-cytidine kinase 2	-1.437	3.862
237974_at	MIR4454///ABHD12B	microRNA 4454///abhydrolase domain containing 12B	2.969	3.962
212594_at	MIR4680///PDCD4	microRNA 4680///programmed cell death 4 (neoplastic transformation inhibitor)	1.028	3.678
202189_x_at	MIR4745///PTBP1	microRNA 4745///polypyrimidine tract binding protein 1	-0.641	5.709
211271_x_at	MIR4745///PTBP1	microRNA 4745///polypyrimidine tract binding protein 1	-0.842	6.35
212015_x_at	MIR4745///PTBP1	microRNA 4745///polypyrimidine tract binding protein 1	-0.668	4.706
212016_s_at	MIR4745///PTBP1	microRNA 4745///polypyrimidine tract binding protein 1	-1.082	3.362
216306_x_at	MIR4745///PTBP1	microRNA 4745///polypyrimidine tract binding protein 1	-0.644	5.216
201475_x_at	MIR6758///MARS	microRNA 6758///methionyl-tRNA synthetase	-0.878	3.831
203857_s_at	MIR7110///PDIA5	microRNA 7110///protein disulfide isomerase family A member 5	-2.002	4.968
