symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
LRP1B	0.6646376943423175	No data	0.45707110880115137	No data	No data	No data	No data	No data	No data	No data	No data	0.9429312508245256	0.28150049247523173	No data	No data	No data	No data	No data	0.3841342935499475	No data	No data	No data	0	0	0	0	0	0.5825200000000003	No data	-0.7735245449531164	0	0	No data	255	-0.0046749999999999405	0.5	0.5
KDR	0.6643808917358832	0.6308924869424403	No data	No data	0	No data	No data	No data	No data	No data	No data	0.917207022962799	No data	No data	No data	No data	No data	No data	0.8066688167367402	No data	No data	1	0	0	1	1	1	0.2957250000000002	1	-0.8644236072807501	-0.9041013519487864	0	255	255	0	-1	0
CCND1	0.6604827721975325	0.13678442946261474	0.45204377097637055	No data	No data	No data	No data	No data	No data	No data	No data	0.8573090768818881	No data	No data	0.607930797611621	No data	0.25229128100882275	No data	0.9196716578039998	No data	No data	1	0	0	1	1	0	0.6949150000000003	No data	-0.5568670711527854	-0.7587213577331899	0	255	255	-0.042372499999999924	-1	-1
POT1	0.6521293925806707	No data	0.4809404308912636	No data	0.01654922726831635	0.607930797611621	No data	No data	No data	No data	No data	0.8466841210680937	0.2377011079773717	No data	No data	No data	No data	No data	0.6603333070068146	No data	No data	No data	0	0	0	0	0	0	No data	-0.16944291230005515	-0.7535493090951741	0	No data	No data	No data	-1	-1
CSF3R	0.6498363406121833	0.5726238432791715	No data	No data	0	No data	No data	No data	No data	No data	No data	0.9218300045217718	No data	No data	No data	No data	No data	No data	0.1775461894424739	No data	No data	1	1	1	0	0	0	0	No data	-0.40165471594043023	-0.48612637707390327	0	No data	255	0	0.5	0
AKT1	0.6471062267240822	0.12158615952232422	No data	No data	0	No data	No data	No data	No data	No data	No data	0.8834977082567973	No data	No data	0.607930797611621	No data	No data	No data	0.9612478596737531	No data	No data	1	0	0	1	1	1	0.9166649999999997	1	-0.7152785438499725	-0.9438936483420903	0	255	255	-0.5729175000000002	-1	-1
FOXP1	0.6463738691099353	No data	0.6292063441659405	No data	0	No data	No data	No data	No data	No data	No data	0.8978188488869377	No data	No data	No data	No data	No data	No data	0.36519743630898965	No data	No data	No data	0	0	0	0	0	0.859675	No data	-0.9024820739106454	-0.9249791231689571	0	No data	No data	0	-1	-1
FLT4	0.6461696425755539	0.6114065394728861	No data	No data	0	No data	No data	No data	No data	No data	No data	0.9046684502620593	No data	No data	No data	No data	No data	No data	0.24209600585772742	No data	No data	1	1	1	1	1	0	0.37270499999999984	0	-0.9127413127413128	-0.9278708665017255	0	255	255	0	-1	0
POLE	0.6419281075285835	0.4910647189546135	No data	No data	0	No data	No data	No data	No data	No data	No data	0.9293995026434827	No data	No data	No data	No data	No data	No data	0.16907899095331685	No data	No data	1	1	0	0	0	0	0.5363100000000003	No data	-0.3678985107556536	-0.7052854311146441	-1	No data	255	No data	0.5	0
DDX3X	0.6406626228389858	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	0.882763594292089	0.6611651144251253	No data	No data	No data	No data	No data	0.26039223772330355	No data	No data	No data	1	0	1	1	0	0.9320250000000001	No data	No data	-0.8826454240331699	0	No data	255	-0.8036249999999999	-1	-1
