ID,Gene.symbol,Gene.title,log2(fold change),-log10(Pvalue)
212623_at,TMEM41B,transmembrane protein 41B,3.992,15.547
222507_s_at,TMEM9B,TMEM9 domain family member B,4.737,16.34
226322_at,TMTC1,transmembrane and tetratricopeptide repeat containing 1,-3.538,6.753
208097_s_at,TMX1,thioredoxin related transmembrane protein 1,3.234,8.797
218368_s_at,TNFRSF12A,TNF receptor superfamily member 12A,3.28,11.633
227812_at,TNFRSF19,TNF receptor superfamily member 19,3.367,9.517
220065_at,TNMD,tenomodulin,-3.302,7.99
221748_s_at,TNS1,tensin 1,-3.02,14.278
206093_x_at,TNXB///TNXA,tenascin XB///tenascin XA (pseudogene),-5.944,11.361
208609_s_at,TNXB///TNXA,tenascin XB///tenascin XA (pseudogene),-4.089,8.832
213451_x_at,TNXB///TNXA,tenascin XB///tenascin XA (pseudogene),-5.605,10.207
216333_x_at,TNXB///TNXA,tenascin XB///tenascin XA (pseudogene),-5.939,10.419
228834_at,TOB1,"transducer of ERBB2, 1",6.006,10.543
201291_s_at,TOP2A,topoisomerase (DNA) II alpha,3.745,8.515
201688_s_at,TPD52,tumor protein D52,6.243,17.934
201689_s_at,TPD52,tumor protein D52,4.337,13.591
209344_at,TPM4,tropomyosin 4,3.138,10.469
212481_s_at,TPM4,tropomyosin 4,3.001,11.227
200742_s_at,TPP1,tripeptidyl peptidase 1,3.392,11.329
205683_x_at,TPSAB1,tryptase alpha/beta 1,4.55,8.653
207741_x_at,TPSAB1,tryptase alpha/beta 1,4.124,7.181
210084_x_at,TPSAB1,tryptase alpha/beta 1,4.908,9.376
215382_x_at,TPSAB1,tryptase alpha/beta 1,3.876,6.8
207134_x_at,TPSB2,tryptase beta 2 (gene/pseudogene),4.51,8.3
216474_x_at,TPSB2///TPSAB1,tryptase beta 2 (gene/pseudogene)///tryptase alpha/beta 1,4.933,8.928
217023_x_at,TPSB2///TPSAB1,tryptase beta 2 (gene/pseudogene)///tryptase alpha/beta 1,3.322,6.861
201399_s_at,TRAM1,translocation associated membrane protein 1,3.994,13.804
233558_s_at,TRAPPC11,trafficking protein particle complex 11,3.155,13.704
202504_at,TRIM29,tripartite motif containing 29,-3.573,4.215
224159_x_at,TRIM4,tripartite motif containing 4,-3.177,17.014
227801_at,TRIM59,tripartite motif containing 59,3.504,14.442
224218_s_at,TRPS1,transcriptional repressor GATA binding 1,4.362,11.646
234351_x_at,TRPS1,transcriptional repressor GATA binding 1,3.316,9.263
225400_at,TSEN15,tRNA splicing endonuclease subunit 15,3.451,15.968
238577_s_at,TSHZ2,teashirt zinc finger homeobox 2,-3.506,7.449
244521_at,TSHZ2,teashirt zinc finger homeobox 2,-3.041,8.175
201504_s_at,TSN,translin,3.586,16.758
210652_s_at,TTC39A,tetratricopeptide repeat domain 39A,3.269,11.767
208664_s_at,TTC3P1///TTC3,tetratricopeptide repeat domain 3 pseudogene 1///tetratricopeptide repeat domain 3,4.177,13.026
239523_at,TUSC5,tumor suppressor candidate 5,-4.993,13.554
214007_s_at,TWF1,twinfilin actin binding protein 1,3.741,15.242
228588_s_at,UBE2B,ubiquitin conjugating enzyme E2 B,3.023,8.59
217799_x_at,UBE2H,ubiquitin conjugating enzyme E2 H,4.174,16.41
222420_s_at,UBE2H,ubiquitin conjugating enzyme E2 H,4.053,11.5
203109_at,UBE2M,ubiquitin conjugating enzyme E2 M,3.314,9.677
201523_x_at,UBE2N,ubiquitin conjugating enzyme E2 N,4.17,17.101
212008_at,UBXN4,UBX domain protein 4,05.05,16.367
1554397_s_at,UEVLD,UEV and lactate/malate dehyrogenase domains,3.12,10.049
204881_s_at,UGCG,UDP-glucose ceramide glucosyltransferase,3.246,10.479
235003_at,UHMK1,U2AF homology motif (UHM) kinase 1,3.615,8.439
232219_x_at,USP21,ubiquitin specific peptidase 21,03.05,10.519
223289_s_at,USP38,ubiquitin specific peptidase 38,3.12,13.6
201337_s_at,VAMP3,vesicle associated membrane protein 3,4.267,10.729
218806_s_at,VAV3,vav guanine nucleotide exchange factor 3,4.744,13.971
224221_s_at,VAV3,vav guanine nucleotide exchange factor 3,4.478,11.47
204619_s_at,VCAN,versican,3.919,12.251
204620_s_at,VCAN,versican,3.342,12.938
211571_s_at,VCAN,versican,7.848,20.162
215646_s_at,VCAN,versican,7.407,20.218
221731_x_at,VCAN,versican,3.111,11.555
1569003_at,VMP1,vacuole membrane protein 1,5.679,12.995
1559500_at,VPS8,"VPS8, CORVET complex subunit",3.265,9.346
219679_s_at,WAC,WW domain containing adaptor with coiled-coil,4.043,12.06
1554441_a_at,WAPL,WAPL cohesin release factor,3.233,15.037
204712_at,WIF1,WNT inhibitory factor 1,-5.461,9.038
229802_at,WISP1,WNT1 inducible signaling pathway protein 1,6.249,15.255
235821_at,WISP1,WNT1 inducible signaling pathway protein 1,3.916,9.825
201295_s_at,WSB1,WD repeat and SOCS box containing 1,3.478,12.21
241994_at,XDH,xanthine dehydrogenase,-4.506,14.804
224589_at,XIST,X inactive specific transcript (non-protein coding),3.924,11.899
233878_s_at,XRN2,5'-3' exoribonuclease 2,3.646,16.122
221423_s_at,YIPF5,Yip1 domain family member 5,3.744,11.264
210317_s_at,YWHAE,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon,3.718,11.486
201020_at,YWHAH,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta,3.088,11.37
200641_s_at,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,4.478,12.969
201367_s_at,ZFP36L2,ZFP36 ring finger protein like 2,3.432,8.503
202137_s_at,ZMYND11,zinc finger MYND-type containing 11,3.008,12.19
1559881_s_at,ZNF12,zinc finger protein 12,3.181,10.009
1554433_a_at,ZNF146,zinc finger protein 146,3.869,14.535
200828_s_at,ZNF207,zinc finger protein 207,3.123,9.71
218401_s_at,ZNF281,zinc finger protein 281,3.13,12.928
227952_at,ZNF595,zinc finger protein 595,-5.288,16.748
224492_s_at,ZNF627,zinc finger protein 627,3.17,13.994
243495_s_at,ZNF652,zinc finger protein 652,04.01,7.295
60794_f_at,ZNF814,zinc finger protein 814,3.194,8.312
204026_s_at,ZWINT,ZW10 interacting kinetochore protein,3.565,10.66
1555929_s_at,,,-3.217,13.207
1556338_at,,,3.345,10.025
1556347_at,,,3.304,6.179
1557527_at,,,3.051,9.165
1558048_x_at,,,-4.057,13.876
1558170_at,,,-4.022,18.836
1558447_at,,,3.466,11.032
1559078_at,,,-3.385,8.721
1560049_at,,,-3.155,9.737
1560144_at,,,-4.732,13.232
1560342_at,,,3.407,14.263
1561754_at,,,-5.61,23.718
1562755_at,,,-5.457,19.904
1569609_at,,,-3.497,12.661
213183_s_at,,,-3.544,17.309
213872_at,,,6.855,14.66
215397_x_at,,,3.067,6.946
220494_s_at,,,3.469,8.821
220898_at,,,3.113,9.53
227260_at,,,5.767,14.895
227364_at,,,4.749,13.373
227473_at,,,3.52,10.329
228481_at,,,5.026,11.316
228818_at,,,3.168,9.359
228854_at,,,-3.378,4.61
229067_at,,,3.687,9.952
229479_at,,,4.538,9.056
229659_s_at,,,-4.756,8.727
230333_at,,,3.711,8.666
230791_at,,,-3.394,5.97
231597_x_at,,,-5.663,19.066
232286_at,,,3.068,6.547
232538_at,,,-4.88,17.232
232541_at,,,-3.807,7.527
232668_at,,,3.513,6.787
232800_at,,,-3.226,12.907
233303_at,,,3.673,15.543
233388_at,,,3.204,9.403
233810_x_at,,,-3.678,13.488
234222_at,,,3.395,6.419
235629_at,,,4.563,13.135
236010_at,,,-3.227,14.675
236131_at,,,-3.733,13.776
236856_x_at,,,-3.172,15.31
237062_at,,,3.062,8.481
237064_x_at,,,3.587,12.392
238623_at,,,3.107,7.71
239262_at,,,-4.338,9.959
239723_at,,,4.769,9.066
240723_at,,,3.657,8.675
242397_at,,,3.265,6.632
243241_at,,,4.024,5.687
243806_at,,,3.1,4.776
244375_at,,,4.171,12.053
244876_at,,,-4.061,11.884
