ID,Gene.symbol,Gene.title,log2(fold change),-log10(Pvalue)
206488_s_at,CD36,CD36 molecule,-5.053,7.634
209555_s_at,CD36,CD36 molecule,-5.657,8.286
228766_at,CD36,CD36 molecule,-5.882,7.926
242197_x_at,CD36,CD36 molecule,-4.591,11.007
207549_x_at,CD46,CD46 molecule,4.833,14.878
211574_s_at,CD46,CD46 molecule,4.661,13.56
1567628_at,CD74,CD74 molecule,03.08,8.991
222537_s_at,CDC42SE1,CDC42 small effector 1,3.267,11.537
209057_x_at,CDC5L,cell division cycle 5 like,-3.392,14.032
207172_s_at,CDH11,cadherin 11,5.46,14.818
207173_x_at,CDH11,cadherin 11,4.25,11.816
236179_at,CDH11,cadherin 11,3.739,7.888
204154_at,CDO1,cysteine dioxygenase type 1,-3.159,5.642
41660_at,CELSR1,cadherin EGF LAG seven-pass G-type receptor 1,4.1,13.855
218883_s_at,CENPU,centromere protein U,3.237,11.949
205382_s_at,CFD,complement factor D,-4.795,11.942
1555730_a_at,CFL1,cofilin 1,3.392,11.587
224600_at,CGGBP1,CGG triplet repeat binding protein 1,3.104,11.688
209763_at,CHRDL1,chordin like 1,-5.378,7.676
221295_at,CIDEA,cell death-inducing DFFA-like effector a,-3.654,7.462
219398_at,CIDEC,cell death inducing DFFA like effector c,-5.626,13.817
206227_at,CILP,cartilage intermediate layer protein,3.734,4.79
207980_s_at,CITED2,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2,3.22,7.283
204170_s_at,CKS2,CDC28 protein kinase regulatory subunit 2,3.237,9.89
203953_s_at,CLDN3,claudin 3,3.843,7.275
214598_at,CLDN8,claudin 8,-3.728,6.179
208925_at,CLDND1,claudin domain containing 1,3.249,8.839
227742_at,CLIC6,chloride intracellular channel 6,5.774,6.459
242913_at,CLIC6,chloride intracellular channel 6,3.655,4.475
201445_at,CNN3,calponin 3,3.826,10.488
223796_at,CNTNAP3B///CNTNAP3P2///CNTNAP3,contactin associated protein-like 3B///contactin associated protein-like 3 pseudogene 2///contactin associated protein-like 3,-3.488,16.792
205941_s_at,COL10A1,collagen type X alpha 1 chain,8.63,19.044
217428_s_at,COL10A1,collagen type X alpha 1 chain,7.459,14.937
204320_at,COL11A1,collagen type XI alpha 1 chain,7.303,13.342
37892_at,COL11A1,collagen type XI alpha 1 chain,7.974,13.582
225664_at,COL12A1,collagen type XII alpha 1 chain,3.954,11.178
231766_s_at,COL12A1,collagen type XII alpha 1 chain,7.169,18.88
231879_at,COL12A1,collagen type XII alpha 1 chain,6.598,14.814
202311_s_at,COL1A1,collagen type I alpha 1 chain,5.335,16.046
217430_x_at,COL1A1,collagen type I alpha 1 chain,3.059,8.975
202404_s_at,COL1A2,collagen type I alpha 2 chain,3.227,13.053
201852_x_at,COL3A1,collagen type III alpha 1 chain,3.199,9.915
212488_at,COL5A1,collagen type V alpha 1 chain,3.426,9.65
212489_at,COL5A1,collagen type V alpha 1 chain,3.345,10.618
221729_at,COL5A2,collagen type V alpha 2 chain,3.727,12.919
221730_at,COL5A2,collagen type V alpha 2 chain,4.372,12.084
212937_s_at,COL6A1,collagen type VI alpha 1 chain,3.134,8.251
230867_at,COL6A6,collagen type VI alpha 6 chain,-4.809,10.545
226237_at,COL8A1,collagen type VIII alpha 1 chain,4.096,8.199
221900_at,COL8A2,collagen type VIII alpha 2 chain,3.179,6.728
52651_at,COL8A2,collagen type VIII alpha 2 chain,3.206,8.264
218439_s_at,COMMD10,COMM domain containing 10,3.257,11.891
205713_s_at,COMP,cartilage oligomeric matrix protein,6.762,12.985
213486_at,COPG2IT1,COPG2 imprinted transcript 1 (non-protein coding),-4.337,16.261
202143_s_at,COPS8,COP9 signalosome subunit 8,4.162,14.528
205624_at,CPA3,carboxypeptidase A3,4.672,7.927
224829_at,CPEB4,cytoplasmic polyadenylation element binding protein 4,4.37,14.502
204312_x_at,CREB1,cAMP responsive element binding protein 1,3.28,10.002
1554464_a_at,CRTAP,cartilage associated protein,3.419,7.355
209283_at,CRYAB,crystallin alpha B,-4.47,12.084
1556006_s_at,CSNK1A1,casein kinase 1 alpha 1,4.343,17.408
1556007_s_at,CSNK1A1,casein kinase 1 alpha 1,3.056,9.972
208867_s_at,CSNK1A1,casein kinase 1 alpha 1,4.049,14.964
243338_at,CSNK1A1,casein kinase 1 alpha 1,3.811,16.43
206075_s_at,CSNK2A1,casein kinase 2 alpha 1,3.749,14.604
204971_at,CSTA,cystatin A,-3.055,4.755
209101_at,CTGF,connective tissue growth factor,3.36,6.215
225681_at,CTHRC1,collagen triple helix repeat containing 1,4.589,14.907
1558214_s_at,CTNNA1,catenin alpha 1,3.479,11.792
213274_s_at,CTSB,cathepsin B,3.349,12.779
202902_s_at,CTSS,cathepsin S,3.134,7.922
203687_at,CX3CL1,C-X3-C motif chemokine ligand 1,-3.684,15.024
823_at,CX3CL1,C-X3-C motif chemokine ligand 1,-4.349,14.561
204533_at,CXCL10,C-X-C motif chemokine ligand 10,4.729,6.555
209774_x_at,CXCL2,C-X-C motif chemokine ligand 2,-3.114,5.552
203915_at,CXCL9,C-X-C motif chemokine ligand 9,3.99,4.197
209201_x_at,CXCR4,C-X-C motif chemokine receptor 4,4.511,11.192
211919_s_at,CXCR4,C-X-C motif chemokine receptor 4,4.623,11.007
1554574_a_at,CYB5R3,cytochrome b5 reductase 3,3.292,8.356
217889_s_at,CYBRD1,cytochrome b reductase 1,3.032,6.22
1553434_at,CYP4Z2P,"cytochrome P450 family 4 subfamily Z member 2, pseudogene",3.734,4.139
210764_s_at,CYR61,cysteine rich angiogenic inducer 61,3.465,6.065
1555989_at,DAAM1,dishevelled associated activator of morphogenesis 1,3.265,4.128
219179_at,DACT1,dishevelled binding antagonist of beta catenin 1,3.222,6.718
212595_s_at,DAZAP2,DAZ associated protein 2,4.645,15.348
222804_x_at,DCAF10,DDB1 and CUL4 associated factor 10,3.821,12.487
218013_x_at,DCTN4,dynactin subunit 4,3.64,14.162
218260_at,DDA1,DET1 and DDB1 associated 1,3.27,13.335
212515_s_at,DDX3X,"DEAD-box helicase 3, X-linked",3.087,8.451
210397_at,DEFB1,defensin beta 1,-3.018,11.513
224327_s_at,DGAT2,diacylglycerol O-acyltransferase 2,-4.517,7.836
226064_s_at,DGAT2,diacylglycerol O-acyltransferase 2,-3.713,6.024
201386_s_at,DHX15,DEAH-box helicase 15,3.297,8.506
206061_s_at,DICER1,"dicer 1, ribonuclease III",4.029,11.97
231240_at,DIO2,"deiodinase, iodothyronine, type II",3.776,5.504
209560_s_at,DLK1,delta like non-canonical Notch ligand 1,-3.971,3.837
203881_s_at,DMD,dystrophin,-3.539,9.385
200664_s_at,DNAJB1,DnaJ heat shock protein family (Hsp40) member B1,3.072,10.868
