Gene Symbol,log2FC,p-value,oncogene_score
COL5A1,3.32054,1.23186e-05,0.0888841
PTPRC,2.49675,0.00098937,0.531526
TMEM41B,3.61707,4.61146e-08,0.0567305
SYNM,-4.47407,2.49272e-11,0.0481069
OLFM4,-4.37889,0.000341934,0.0835957
CCDC69,-4.02224,1.28459e-06,0.10651
SEC24A,2.41299,2.29545e-07,
TBC1D9,4.42302,0.000560603,0.115415
DPT,-2.78847,2.73368e-06,0.0823892
OLFML2B,2.7895,1.35642e-05,0.0156696
TIAM1,2.7115,0.00428291,0.106016
ARID5A,-2.36252,1.89472e-09,0.0219838
FOXC1,-2.75245,8.50011e-13,0.11829
RPS11,-2.76547,5.26337e-11,0.00567469
MTCL1,2.35101,0.00207801,0.00375753
SOSTDC1,-2.41196,1.20134e-06,0.107526
COPG2IT1,-5.00983,2.38336e-05,0.019716
G0S2,-4.31229,6.68603e-06,0.103873
HLA-DPA1,3.05516,0.00402423,0.0215432
ARHGDIA,2.49922,0.000231797,0.0541703
PAMR1,-3.00685,1.19639e-08,0.0311043
KRT6B,-2.62783,0.00616873,0.111448
GPD1,-6.88991,0.00111816,0.102337
KANK3,-2.84164,1.27934e-12,0.00800177
FAM189A2,-3.24189,1.29476e-11,
BGN,2.31567,3.64338e-07,0.109261
LRRC15,5.66485,3.11523e-05,0.106515
TWF1,3.70846,1.23363e-07,0.0295056
TF,-4.98048,3.03962e-12,0.125651
GPX3,-2.97419,0.00327998,0.111329
FKBP1A,3.00886,2.04942e-09,0.599737
TJP1,2.31216,2.05181e-05,0.107165
TPP1,2.32593,7.08606e-08,0.0087847
NUMA1,2.98462,3.27038e-07,0.310586
EEF1D,-2.37038,0.000120537,0.00902925
SAA1,-4.94522,8.70322e-06,0.109138
PROSC,2.77536,6.37362e-06,
CLDN8,-2.90606,6.84741e-08,0.104802
SEPT10,2.31236,5.58913e-07,
PMS2L2,2.63281,1.72528e-08,
POSTN,2.77663,0.00299666,0.114671
ZNF528,-3.59114,0.00532295,
HIST1H2AC,2.38185,0.00261087,
DPY19L2P2,-3.17125,0.000472031,
SMARCA1,2.64822,0.00248779,0.0412268
LOX,2.35271,0.000123476,0.114184
MAP7,2.71368,0.000284972,0.0329253
MPPED2,-2.42819,0.000220814,0.0870536
GYG2,-5.67497,2.13518e-07,0.0156764
GLUD2,2.79208,7.01261e-05,0.00406538
CA12,2.64966,3.05423e-05,0.0800576
KIAA1033,2.87959,2.6991e-11,
AGA,2.34379,2.32136e-06,0.0179102
TOR1AIP1,2.51765,5.96895e-06,0.00930808
RECK,-2.53664,1.37663e-13,0.0985687
EDNRA,2.87357,0.000368359,0.0518276
POLR2J,2.38897,2.58585e-08,0.0036958
ARFGEF1,4.29721,0.00022439,0.019486
ITGA7,-3.73693,7.70035e-07,0.104601
TNXA,-4.96657,3.37474e-06,0.00258706
FN1,3.51619,2.10429e-11,0.128612
PIGC,3.00993,6.24022e-08,0.212112
CCL2,2.46803,0.0040012,0.128305
SLC7A8,2.86619,0.0069486,0.083218
TOX3,2.89305,0.00780475,0.575095
GATM,2.58826,0.0082392,0.0179759
RGS1,2.70014,0.00366642,0.0254985
PTPN12,3.28697,3.67478e-06,0.0855061
FCGR1A,3.45881,0.00523724,0.0229598
PLEC,2.8836,1.22302e-06,0.292275
PTP4A2,2.40382,1.55255e-11,0.0902607
TPSAB1,3.62148,0.00109141,0.0126429
VDAC1,2.48059,1.41459e-09,0.111449
C14orf1,3.80391,7.48941e-08,
HBB,-3.62802,0.00155483,0.272954
EZR,4.42878,0.000106647,0.30001
HBA1,-3.45515,2.6068e-05,0.262858
COL10A1,7.79274,0.000112822,0.124576
COL1A1,3.32183,1.62404e-05,0.289892
FOLH1,-2.54626,0.000256561,0.110289
MT1M,-2.66858,2.19137e-05,0.0753806
RAB31,3.30068,0.000567947,0.0994236
GOLM1,2.64792,2.58823e-07,0.0789339
KCTD3,2.74302,1.04862e-06,0.0064311
PRC1,3.45803,0.00239369,0.565837
