Entrez ID,Gene Symbol,LogFC,p-value,oncogeneScore
909,CD1A,-2.62533,4.53194e-07,0.0271801
1672,DEFB1,-3.68832,4.51655e-07,0.0110695
6095,RORA,-3.35031,1.96587e-06,0.0999401
8529,CYP4F2,-3.35829,4.84472e-05,0.0357088
11283,CYP4F8,-3.8294,0.000305964,0.0357088
10653,SPINT2,-2.76232,9.39029e-08,0.0782341
100861540,CYP3A7-CYP3AP1,-3.07274,6.18121e-06,
7277,TUBA4A,-2.80256,5.1753e-09,0.395632
1408,CRY2,-2.52508,1.7108e-07,0.00461975
362,AQP5,-3.1051,1.65746e-05,0.00147832
5446,PON3,-2.7297,0.000358204,0.0155224
6698,SPRR1A,-3.7013,0.000203393,0.00551742
51099,ABHD5,-2.58064,2.1741e-05,0
23086,EXPH5,-3.89713,1.69451e-07,
6441,SFTPD,-2.30134,0.00016366,0.00321596
54346,UNC93A,-3.47921,6.04123e-08,0.00147832
57152,SLURP1,-4.64308,4.26011e-05,0.0360492
9073,CLDN8,-3.42391,5.8553e-07,
3713,IVL,-4.38528,9.08419e-09,0.024378
154754,PRSS3P2,-2.52941,2.41922e-06,
26154,ABCA12,-3.38431,0.00010928,0.00201216
22798,LAMB4,-3.74887,2.87009e-07,0
3120,HLA-DQB2,-3.53053,4.03541e-05,0.00494826
2312,FLG,-4.6117,1.83028e-07,0.544031
9547,CXCL14,-3.99674,4.10386e-08,0.0221174
64787,EPS8L2,-2.90798,8.7643e-07,
9076,CLDN1,-3.26865,3.58195e-07,0.0723322
57111,RAB25,-4.50585,1.42471e-09,0.0286116
10053,AP1M2,-3.13964,1.10821e-11,0.00480454
56901,NDUFA4L2,-2.56428,4.24637e-07,
51195,RAPGEFL1,-4.71147,4.81271e-09,0
57402,S100A14,-3.77856,1.62436e-08,0.018171
54873,PALMD,-2.82694,1.8891e-06,
54836,BSPRY,-2.34045,3.31107e-06,
55612,FERMT1,-3.26066,2.00856e-06,0.0036958
10848,PPP1R13L,-2.99206,2.68565e-10,0.0604169
51673,TPPP3,-3.6278,3.14316e-05,0.0697103
79603,CERS4,-2.67293,2.19142e-05,
56649,TMPRSS4,-2.47546,0.000797385,0.0037574
25984,KRT23,-4.34042,5.45585e-07,
55765,C1orf106,-2.52531,1.0789e-07,
4883,NPR3,-3.28769,0.000131871,
53832,IL20RA,-4.16142,1.89561e-08,0.00147832
54795,TRPM4,-2.37245,4.68339e-11,0.00914607
79977,GRHL2,-2.62844,5.63445e-07,0.00221748
80004,ESRP2,-3.71794,3.59597e-09,0.00332622
55076,TMEM45A,-2.47442,5.35196e-07,
79152,FA2H,-3.35388,0.000138001,
79098,C1orf116,-4.85458,2.66846e-08,
9022,CLIC3,-4.44567,3.26314e-09,
6785,ELOVL4,-4.28268,1.55993e-07,0.00295664
11211,FZD10,-2.73014,3.31974e-07,0.00826175
26298,EHF,-3.34821,8.55716e-06,0.0067397
79148,MMP28,-3.84958,2.51583e-06,0.00628286
11279,KLF8,-2.89115,1.43096e-09,
53836,GPR87,-3.75843,2.59712e-06,0.0544925
54810,GIPC2,-2.54635,1.16226e-05,
79755,ZNF750,-5.43323,4.22571e-07,0.0351128
29094,LGALSL,-3.16757,5.06213e-09,
79852,EPHX3,-4.24939,1.13361e-09,0.00425017
22802,CLCA4,-4.05692,3.79319e-06,
8139,GAN,-2.39124,2.46974e-05,0.00277185
54566,EPB41L4B,-2.68322,2.35939e-08,0.0101764
50805,IRX4,-3.03555,1.70141e-07,
9597,SMAD5-AS1,-2.53912,3.50932e-05,
9314,KLF4,-3.43753,2.78402e-05,0.498111
55057,AIM1L,-3.43803,3.83708e-08,
54857,GDPD2,-3.94582,3.86831e-08,
55040,EPN3,-3.16809,4.71935e-07,
63970,TP53AIP1,-2.7862,1.13283e-06,0.00957828
10089,KCNK7,-2.75961,1.01723e-05,0.00979387
51806,CALML5,-5.16324,4.31299e-07,
50489,CD207,-3.03215,5.37202e-07,0.0621961
28983,TMPRSS11E,-3.89454,3.46613e-05,
54544,CRCT1,-4.00969,1.1574e-05,
170680,PSORS1C2,-3.76329,1.04869e-07,0
